Sector of Institution,Reporting Location,Offense,Date,Count
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,449
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,120
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,10
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,207
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,5
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,7
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,19
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,6
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,455
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,118
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,9
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,205
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,7
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,7
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,23
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,3
"Public, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,511
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,135
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,10
"Public, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,238
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,11
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,5
"Public, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,23
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,4
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,197
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,43
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,2
"Public, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,20
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,1
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,1
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,167
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,36
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,1
"Public, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,23
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,3
"Public, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,1
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,212
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,54
"Private for-profit, 4-year or above",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,5
"Public, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,35
"Private nonprofit, 2-year",On Campus (Residence Halls),Arrest - Illegal Weapon Possesions,sum2015,4
